"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB"
"1165","FDY04",10.708527107014,"Regular",0.074370772,"Frozen Foods",162.921,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1166","NCP54",15.35,"Low Fat",0.03514967,"Household",121.673,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1167","FDF41",12.15,"Low Fat",0.131070648,"Frozen Foods",244.346,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1168","FDM01",7.895,"Regular",0,"Breakfast",102.4332,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1169","FDW03",5.63,"Regular",0.024591047,"Meat",104.3306,"OUT045",2002,"High","Tier 2","Supermarket Type1",17
"1170","FDF28",15.7,"Regular",0.037941512,"Frozen Foods",122.8046,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1171","FDY37",17,"Regular",0.026719159,"Canned",142.047,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1172","FDQ03",15,"Regular",0.078455536,"Meat",237.3248,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1173","FDP51",17.1733363579732,"Regular",0.08486204,"Meat",120.0124,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1174","FDJ40",13.6,"Regular",0.049869757,"Frozen Foods",110.9912,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"1175","FDC32",18.35,"Low Fat",0.099263089,"Fruits and Vegetables",93.4462,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1176","DRI49",6.96168634094898,"Low Fat",0.182618653,"Soft Drinks",81.6276,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1177","NCW54",7.5,"Low Fat",0.096958614,"Household",55.3588,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1178","FDF09",6.215,"Low Fat",0.012217624,"Fruits and Vegetables",37.7848,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1179","FDP45",15.7,"Regular",0.030749596,"Snack Foods",250.6724,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1180","DRJ23",18.35,"Low Fat",0.041838623,"Hard Drinks",187.1872,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1181","FDS59",14.8,"Regular",0.044141726,"Breads",111.157,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1182","FDY08",9.395,"Regular",0.171075221,"Fruits and Vegetables",138.9838,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1183","FDX16",17.85,"low fat",0.065912362,"Frozen Foods",147.805,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1184","FDY16",18.35,"Regular",0.092602446,"Frozen Foods",184.7266,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1185","FDK32",16.25,"Regular",0,"Fruits and Vegetables",152.8682,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1186","FDQ22",16.75,"LF",0.029714904,"Snack Foods",39.3822,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1187","NCC31",8.02,"Low Fat",0.019951406,"Household",155.9972,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1188","FDG58",10.695,"Regular",0.086916126,"Snack Foods",153.7972,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1189","DRF48",5.73,"Low Fat",0.051758358,"Soft Drinks",189.0898,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1190","DRH36",16.2,"Low Fat",0.033431957,"Soft Drinks",73.3696,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1191","NCR30",20.6,"Low Fat",0.070979549,"Household",75.5696,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1192","FDB03",9.4761464101734,"Regular",0.274592283,"Dairy",242.2538,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1193","FDZ28",9.935289090169,"Regular",0.051243144,"Frozen Foods",126.1678,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1194","FDR35",12.5,"Low Fat",0.020814797,"Breads",198.4742,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1195","DRD15",17.4623096458283,"LF",0.056520886,"Dairy",232.6642,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1196","FDJ33",8.49904001741896,"Regular",0.154640734,"Snack Foods",124.273,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1197","FDA56",9.21,"LF",0.014670454,"Fruits and Vegetables",120.2414,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"1198","FDP56",8.185,"Low Fat",0.046484138,"Fruits and Vegetables",47.9692,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1199","NCT30",9.1,"Low Fat",0.08029289,"Household",48.1718,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1200","FDK15",10.8,"Low Fat",0.098970494,"Meat",100.3042,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1201","FDH44",19.1,"Regular",0,"Fruits and Vegetables",146.9418,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1202","FDV01",19.2,"Regular",0.084879879,"Canned",154.6314,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1203","DRG03",14.5,"Low Fat",0.062337196,"Dairy",152.4998,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1204","FDG50",12.5783796216625,"Low Fat",0.015197838,"Canned",89.7146,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1205","FDR16",5.845,"Regular",0.175778605,"Frozen Foods",214.9218,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"1206","FDZ60",20.5,"Low Fat",0.119361811,"Baking Goods",107.8596,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1207","DRG03",14.5,"Low Fat",0.062112285,"Dairy",154.2998,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1208","FDS56",5.785,"Regular",0.038914743,"Fruits and Vegetables",264.0252,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1209","FDU33",7.63,"Regular",0.134982959,"Snack Foods",45.2402,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1210","DRD27",18.75,"Low Fat",0.023835413,"Dairy",99.1042,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1211","FDW22",9.695,"Regular",0,"Snack Foods",223.1114,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1212","DRA24",19.35,"Regular",0.040009212,"Soft Drinks",163.2868,"OUT045",2002,"High","Tier 2","Supermarket Type1",17
"1213","FDF38",11.8,"Regular",0.026398984,"Canned",38.9138,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1214","FDX48",17.75,"Regular",0.037856364,"Baking Goods",154.3656,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1215","FDS58",9.285,"Regular",0.021092185,"Snack Foods",160.8578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1216","FDC32",18.35,"Low Fat",0.099109001,"Fruits and Vegetables",92.9462,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1217","NCQ29",12,"Low Fat",0.104441517,"Health and Hygiene",261.7278,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1218","DRK39",7.02,"Low Fat",0.05006853,"Dairy",84.025,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1219","NCS38",8.6,"Low Fat",0.090701591,"Household",114.2176,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1220","DRO47",10.195,"Low Fat",0.112131275,"Hard Drinks",112.086,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1221","DRG27",11.0400538753225,"Low Fat",0.104601689,"Dairy",42.3138,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1222","FDC57",11.5050823604519,"Regular",0.054330154,"Fruits and Vegetables",191.482,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1223","FDS55",7.02,"Low Fat",0.081164178,"Fruits and Vegetables",146.7734,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1224","NCJ06",20.1,"Low Fat",0.034793779,"Household",119.8782,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1225","FDO01",11.1974962382083,"Regular",0.036275691,"Breakfast",129.5994,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1226","NCM55",15.6,"Low Fat",0.066861456,"Others",185.7924,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1227","FDC52",11.15,"Regular",0.008292773,"Dairy",152.2708,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1228","FDQ15",20.35,"Regular",0.151379828,"Meat",80.1276,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1229","NCT30",7.53187914527025,"Low Fat",0.079904068,"Household",47.5718,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1230","NCR42",12.8692338826387,"Low Fat",0.038295533,"Household",32.39,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1231","FDD28",10.695,"Low Fat",0,"Frozen Foods",57.8904,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1232","FDQ34",10.85,"Low Fat",0.162494861,"Snack Foods",104.5622,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1233","FDZ12",12.5258482312129,"Low Fat",0.102480138,"Baking Goods",142.747,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1234","DRE13",15.6553035774051,"Low Fat",0.048508058,"Soft Drinks",86.1198,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1235","NCN07",23.0924344622072,"Low Fat",0.059432784,"Others",133.0284,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1236","FDM28",15.7,"Low Fat",0.045195307,"Frozen Foods",180.766,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1237","FDI10",8.51,"Regular",0.078847814,"Snack Foods",171.5422,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1238","FDQ25",8.63,"Regular",0.028253161,"Canned",170.4422,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1239","FDA38",5.44,"Low Fat",0.042648161,"Dairy",241.5538,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"1240","DRI13",15.35,"Low Fat",0.020358565,"Soft Drinks",216.5508,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1241","FDY20",12.8391011290029,"Regular",0.081356869,"Fruits and Vegetables",90.2488,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1242","NCZ53",9.6,"Low Fat",0.024472537,"Health and Hygiene",187.2214,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1243","NCM31",6.095,"Low Fat",0.081129049,"Others",143.8154,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1244","DRB01",7.39,"Low Fat",0.082704564,"Soft Drinks",189.053,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1245","DRF37",17.25,"Low Fat",0.084332638,"Soft Drinks",262.091,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1246","NCF42",17.35,"Low Fat",0.167643297,"Household",177.1712,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1247","FDF16",7.3,"LF",0.08648324,"Frozen Foods",148.9076,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1248","FDB41",19,"Regular",0.097232147,"Frozen Foods",47.8718,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1249","FDR34",17,"Regular",0.015952023,"Snack Foods",227.3352,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1250","FDR15",9.3,"Regular",0.033574204,"Meat",155.7314,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1251","NCV42",8.78688430116326,"Low Fat",0.05501583,"Household",111.8228,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1252","FDW51",6.155,"Regular",0.094641972,"Meat",212.056,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1253","FDU36",6.15,"Low Fat",0.046532678,"Baking Goods",97.2384,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1254","FDX60",14.35,"Low Fat",0.080719435,"Baking Goods",80.996,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1255","FDY03",17.6,"Regular",0.076107437,"Meat",113.0202,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1256","FDW55",12.6,"Regular",0.022014451,"Fruits and Vegetables",248.2092,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1257","FDT01",13.65,"reg",0.308258994,"Canned",213.0902,"OUT010",1998,"High","Tier 3","Grocery Store",21
"1258","FDG58",10.695,"Regular",0.086708987,"Snack Foods",154.6972,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1259","FDK21",7.905,"Low Fat",0.010068952,"Snack Foods",249.4408,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1260","NCS41",13.7592158563417,"Low Fat",0.093573569,"Health and Hygiene",182.4608,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1261","FDS10",19.2,"Low Fat",0.035256945,"Snack Foods",181.7318,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1262","NCT53",5.4,"Low Fat",0.048116258,"Health and Hygiene",164.9526,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1263","FDJ28",12.3,"Low Fat",0.021950037,"Frozen Foods",190.7162,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1264","FDX44",9.3,"Low Fat",0.043053682,"Fruits and Vegetables",87.6172,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1265","FDT20",10.5,"Low Fat",0.041564073,"Fruits and Vegetables",38.4164,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1266","FDO44",12.6,"low fat",0.087947879,"Fruits and Vegetables",109.9228,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1267","NCX17",21.25,"Low Fat",0.113780055,"Health and Hygiene",234.93,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1268","FDY01",11.8,"Regular",0.171246685,"Canned",116.5834,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"1269","FDJ12",8.50807606449128,"Regular",0.038852056,"Baking Goods",209.5296,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1270","DRK35",8.365,"low fat",0.072139167,"Hard Drinks",36.7506,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1271","FDD47",13.5596343490819,"Regular",0.249342884,"Starchy Foods",168.5448,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1272","NCM53",18.75,"Low Fat",0.052031075,"Health and Hygiene",106.228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1273","FDO45",13.15,"Regular",0.037921193,"Snack Foods",87.3856,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1274","NCM42",6.13,"LF",0.047404371,"Household",109.3912,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"1275","FDE04",19.75,"Regular",0,"Frozen Foods",179.666,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1276","NCI30",10.2673518944054,"Low Fat",0.058650124,"Household",247.846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1277","FDZ19",6.425,"Low Fat",0.093377128,"Fruits and Vegetables",174.6712,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1278","FDW57",8.31,"Regular",0.115581112,"Snack Foods",177.5028,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1279","FDA25",16.5,"Regular",0,"Canned",102.299,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1280","FDT22",10.395,"LF",0.112097216,"Snack Foods",59.022,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1281","FDP51",13.85,"Regular",0.085204025,"Meat",118.9124,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1282","FDD48",14.6096122038219,"Low Fat",0.030012644,"Baking Goods",116.1176,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1283","FDY39",5.305,"Regular",0.0470198,"Meat",182.7608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1284","FDO48",15,"Regular",0.04492594,"Baking Goods",221.9456,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"1285","FDD23",15.0085723810174,"reg",0.048449768,"Starchy Foods",185.5898,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1286","DRN35",-0.161929409511366,"Low Fat",0.069907412,"Hard Drinks",36.9532,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1287","FDT01",13.65,"Regular",0.184132888,"Canned",214.0902,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1288","FDC20",10.65,"LF",0.040123315,"Fruits and Vegetables",54.6272,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"1289","DRJ35",10.1,"low fat",0.046575743,"Hard Drinks",62.1878,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1290","FDB32",20.6,"Low Fat",0.023452939,"Fruits and Vegetables",93.6778,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1291","FDL24",10.3,"Regular",0.024896589,"Baking Goods",173.2422,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1292","NCV42",6.26,"LF",0.031416038,"Household",112.5228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1293","FDZ46",7.485,"Low Fat",0.06912372,"Snack Foods",109.2228,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1294","FDC15",18.1,"Low Fat",0.177820954,"Dairy",155.7288,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1295","FDD08",11.0285217284983,"LF",0.061900923,"Fruits and Vegetables",37.8506,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1296","FDY50",5.8,"Low Fat",0,"Dairy",88.8172,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1297","FDD36",13.3,"Low Fat",0.021255857,"Baking Goods",119.1124,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1298","FDG57",9.01914729424292,"Low Fat",0.071948252,"Fruits and Vegetables",48.8034,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1299","FDL21",15.85,"Regular",0.007175526,"Snack Foods",40.848,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1300","FDN16",12.1200724377241,"Regular",0.06239666,"Frozen Foods",101.999,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1301","FDJ09",15.8616747072076,"LF",0.058112049,"Snack Foods",45.5744,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1302","FDS01",11.6,"Low Fat",0.02970149,"Canned",179.3686,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"1303","FDV33",9.6,"Regular",0.027498277,"Snack Foods",260.2304,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1304","DRE12",4.59,"Low Fat",0.071180921,"Soft Drinks",114.186,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1305","FDR07",21.35,"Low Fat",0.077679213,"Fruits and Vegetables",97.2094,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1306","FDP48",7.52,"Regular",0.073685833,"Baking Goods",183.895,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"1307","NCB55",15.7,"Low Fat",0.160632642,"Household",57.8562,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1308","FDQ08",15.7,"Regular",0.018914599,"Fruits and Vegetables",59.6536,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1309","FDR34",17,"Regular",0.01596229,"Snack Foods",230.8352,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1310","FDO33",14.75,"Low Fat",0.089322461,"Snack Foods",112.2518,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1311","FDP13",8.1,"Regular",0.134595967,"Canned",38.448,"OUT045",2002,"High","Tier 2","Supermarket Type1",17
"1312","FDX12",18.2,"Regular",0,"Baking Goods",243.0196,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1313","NCT06",17.1,"Low Fat",0.03879778,"Household",166.3842,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1314","FDR16",14.0002138513939,"Regular",0,"Frozen Foods",213.7218,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1315","FDE36",5.26,"reg",0.041772386,"Baking Goods",165.0868,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1316","FDZ36",6.035,"Regular",0.065886059,"Baking Goods",184.924,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1317","FDV13",17.35,"Regular",0.027666863,"Canned",87.9856,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1318","NCZ17",12.15,"Low Fat",0.079416624,"Health and Hygiene",36.2506,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1319","FDU56",16.85,"Low Fat",0.044504129,"Fruits and Vegetables",183.5266,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1320","FDM09",11.15,"Regular",0.085915295,"Snack Foods",170.779,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1321","FDV02",16.75,"Low Fat",0.060888099,"Dairy",171.9106,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1322","FDS34",19.35,"reg",0.07707176,"Snack Foods",112.8518,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1323","FDA11",7.75,"Low Fat",0.043306047,"Baking Goods",95.3436,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1324","FDP09",19.75,"Low Fat",0.034081551,"Snack Foods",211.7902,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1325","FDB29",10.0639804686363,"Regular",0.05215787,"Frozen Foods",114.4176,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1326","FDT19",7.59,"Regular",0,"Fruits and Vegetables",172.808,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1327","DRH15",8.775,"Low Fat",0.110532975,"Dairy",44.2428,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1328","FDY38",13.6,"Regular",0.119176431,"Dairy",233.93,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1329","FDF14",17.4265824551309,"Low Fat",0.027038245,"Canned",151.834,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1330","FDN48",13.35,"Low Fat",0.108714206,"Baking Goods",93.2804,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"1331","FDQ12",12.65,"Low Fat",0.03538128,"Baking Goods",230.701,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"1332","NCJ43",6.635,"Low Fat",0.027124299,"Household",172.9396,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1333","FDE17",10.3051683101755,"Regular",0.095344543,"Frozen Foods",152.3366,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1334","FDB05",5.155,"Low Fat",0.08318261,"Frozen Foods",248.8776,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1335","FDH10",21,"Low Fat",0.049405001,"Snack Foods",192.8478,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1336","NCR06",12.5,"Low Fat",0.006803416,"Household",40.8112,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"1337","FDU32",8.785,"Low Fat",0.026073405,"Fruits and Vegetables",121.4414,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1338","FDD56",15.2,"Regular",0.103939618,"Fruits and Vegetables",173.6054,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1339","FDO36",19.7,"Low Fat",0.078231229,"Baking Goods",181.466,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1340","FDH16",10.5,"Low Fat",0.087966875,"Frozen Foods",91.583,"OUT010",1998,"High","Tier 3","Grocery Store",21
"1341","FDX10",6.385,"Regular",0.124214471,"Snack Foods",35.5874,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1342","FDZ37",8.1,"Regular",0.019880322,"Canned",88.0198,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1343","FDU31",10.5,"Regular",0.041829904,"Fruits and Vegetables",217.8508,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"1344","DRC49",8.67,"LF",0.065538317,"Soft Drinks",141.8128,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1345","FDL15",17.85,"Low Fat",0.046729336,"Meat",152.5682,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1346","FDN32",16.9163529835716,"Low Fat",0,"Fruits and Vegetables",186.0266,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1347","DRH59",12.3939401091497,"Low Fat",0.058150483,"Hard Drinks",74.138,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1348","NCU29",7.685,"Low Fat",0.025517058,"Health and Hygiene",147.476,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1349","FDR37",7.93946825967193,"Regular",0,"Breakfast",183.7292,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1350","FDS14",7.285,"Low Fat",0.050167414,"Dairy",156.9288,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1351","FDU02",9.3515813529611,"Low Fat",0.102015088,"Dairy",227.2352,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1352","FDJ08",11.1,"Low Fat",0.110651177,"Fruits and Vegetables",192.7846,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"1353","NCZ06",19.6,"Low Fat",0.094352624,"Household",253.8698,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"1354","FDO31",6.76,"Regular",0.029027743,"Fruits and Vegetables",81.396,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1355","FDH31",12,"Regular",0.020494302,"Meat",101.2042,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1356","FDS58",9.285,"Regular",0.021125435,"Snack Foods",159.7578,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"1357","NCA53",18.6248824530699,"Low Fat",0.009830622,"Health and Hygiene",48.9034,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1358","FDF50",4.905,"Low Fat",0,"Canned",197.7768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"1359","NCW42",18.2,"Low Fat",0.058559885,"Household",222.6456,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"1360","NCQ17",10.3,"Low Fat",0.117169698,"Health and Hygiene",156.163,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"1361","FDK51",19.85,"Low Fat",0.005256469,"Dairy",264.0884,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1362","NCW41",18,"Low Fat",0.025860761,"Health and Hygiene",157.1604,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"1363","NCR29",7.565,"Low Fat",0.054949947,"Health and Hygiene",54.993,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"1364","FDB08",20.9572503330802,"Low Fat",0.054457963,"Fruits and Vegetables",158.8578,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"1365","FDA40",8.15006182366006,"Regular",0.098790484,"Frozen Foods",85.8856,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"1366","FDL14",8.115,"Regular",0.032289868,"Canned",157.6972,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"1367","FDB47",8.8,"Low Fat",0.071429389,"Snack Foods",207.4612,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
