"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB","Item_Outlet_Sales"
"447","FDV02",16.75,"Low Fat",0.060534179,"Dairy",169.4106,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3345.96297254214
"448","FDN09",14.15,"Low Fat",0.034874689,"Snack Foods",242.2828,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3052.67262394031
"449","NCM55",12.5,"Low Fat",0.066403009,"Others",186.6924,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4199.91348989363
"450","FDN23",6.575,"Regular",0.075815345,"Breads",144.6444,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2378.48817777631
"451","FDY31",5.98,"Low Fat",0.072915282,"Fruits and Vegetables",145.1418,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,459.165190546167
"452","FDW03",5.63,"Regular",0.041077066,"Meat",106.5306,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,269.482778348772
"453","FDD14",20.7,"Low Fat",0.169808455,"Canned",183.4266,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3145.96900993301
"454","FDV23",11,"Low Fat",0.106435421,"Breads",125.7046,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2035.59201533961
"455","DRI03",6.03,"Low Fat",0.022749737,"Dairy",175.7028,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2587.42297577298
"456","FDN13",18.6,"Low Fat",0.152029528,"Breakfast",99.3358,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1650.57756239106
"457","FDF45",12.5,"Regular",0.01214561,"Fruits and Vegetables",59.7904,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2054.51218016969
"458","FDU46",10.3,"Regular",0.011124197,"Snack Foods",87.454,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1575.70804809874
"459","FDB57",20.25,"Regular",0.018834342,"Fruits and Vegetables",222.3772,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3475.93656172337
"460","FDV12",16.7,"Regular",0,"Baking Goods",99.6384,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1966.02068134905
"461","FDQ58",7.315,"Low Fat",0.015289106,"Snack Foods",151.134,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2537.43162755382
"462","NCA18",10.1,"Low Fat",0.056394771,"Household",115.9492,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2006.62620845397
"463","FDH52",9.42,"Regular",0,"Frozen Foods",61.3194,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,907.283724482188
"464","FDM24",6.135,"Regular",0.079650513,"Baking Goods",150.1366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2251.90889279554
"465","NCP43",12.5,"Low Fat",0.030359318,"Others",181.166,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4130.99123316263
"466","NCO18",12.5,"Low Fat",0.04316119,"Household",176.4686,"OUT019",1985,"Small","Tier 1","Grocery Store",34,508.161878143257
"467","FDM32",20.5,"Low Fat",0.020721583,"Fruits and Vegetables",91.183,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1432.76466652944
"468","NCL07",13.85,"Low Fat",0.031515822,"Others",37.948,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,765.401877972963
"469","FDK03",12.6,"Regular",0.073858923,"Dairy",253.2356,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,5119.07817908427
"470","FDP59",20.85,"Regular",0.056785107,"Breads",102.2648,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1790.76228471092
"471","FDQ24",15.7,"Low Fat",0,"Baking Goods",250.6724,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3689.00680512189
"472","FDQ16",19.7,"Low Fat",0.041908424,"Frozen Foods",109.5912,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1347.8306152841
"473","FDU44",12.15,"Regular",0.058377105,"Fruits and Vegetables",160.6552,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2574.50456748718
"474","FDH28",15.85,"Regular",0.184169331,"Frozen Foods",38.6506,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,119.543585015569
"475","FDV28",12.5,"Regular",0.19308623,"Frozen Foods",35.6558,"OUT019",1985,"Small","Tier 1","Grocery Store",34,142.788596567885
"476","FDM22",14,"Regular",0.042042857,"Snack Foods",53.864,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,992.855601932811
"477","FDR56",15.5,"Regular",0.100765839,"Fruits and Vegetables",196.0768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2757.73672709461
"478","FDV39",11.3,"Low Fat",0.007291207,"Meat",196.8426,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2747.83237063422
"479","FDU37",12.5,"Regular",0.182980378,"Canned",80.496,"OUT019",1985,"Small","Tier 1","Grocery Store",34,265.945808076652
"480","FDQ11",5.695,"Regular",0,"Breads",256.4988,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,762.848251098662
"481","FDX02",16,"Low Fat",0.057175809,"Dairy",223.5404,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3708.44969817504
"482","NCS42",8.6,"Low Fat",0.06969924,"Household",92.6146,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1439.93893733615
"483","FDY57",12.5,"Regular",0.120667057,"Snack Foods",94.6752,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2602.80424532861
"484","FDB21",7.475,"Low Fat",0.148751515,"Fruits and Vegetables",241.8854,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,4290.3550100703
"485","FDE28",9.5,"Regular",0.133296733,"Frozen Foods",229.8668,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3914.68044689665
"486","FDQ55",13.65,"Regular",0.013111823,"Fruits and Vegetables",113.2834,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2128.6540439847
"487","FDA48",12.1,"Low Fat",0.115052659,"Baking Goods",222.6114,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3631.63667083144
"488","FDZ19",6.425,"Low Fat",0.093644428,"Fruits and Vegetables",174.3712,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2376.56414275474
"489","NCC43",7.39,"Low Fat",0.092971061,"Household",252.4066,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,4181.34125471942
"490","NCV18",6.775,"Low Fat",0.105245865,"Household",81.925,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1417.71543766114
"491","NCA42",6.965,"Low Fat",0.028664878,"Household",159.0604,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2832.4782280557
"492","FDY45",17.5,"Low Fat",0.026142114,"Snack Foods",256.3356,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3424.42563488934
"493","NCC30",16.6,"Low Fat",0.027635129,"Household",178.8344,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3339.30251951081
"494","FDM57",11.65,"Regular",0.075786047,"Snack Foods",85.3908,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1663.62879222602
"495","FDL09",19.6,"Regular",0.19308623,"Snack Foods",166.7816,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,404.828551028543
"496","FDB09",12.5,"Low Fat",0.057118149,"Fruits and Vegetables",124.8046,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3207.16674602151
"497","FDT44",16.6,"Low Fat",0.102967068,"Fruits and Vegetables",118.8466,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2205.38811925179
"498","NCT06",12.5,"Low Fat",0.038549965,"Household",164.2842,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4365.12738752555
"499","FDX26",17.7,"Low Fat",0.087945039,"Dairy",183.3292,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3319.20561247013
"500","FDK32",16.25,"Regular",0.048934817,"Fruits and Vegetables",153.0682,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2641.36014743747
"501","DRA12",11.6,"Low Fat",0.040945898,"Soft Drinks",142.9154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2014.1512995983
"502","FDO46",9.6,"Regular",0.023788808,"Snack Foods",187.8872,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,674.419579997286
"503","FDE52",10.395,"Regular",0.029861927,"Dairy",86.6514,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1430.74493425773
"504","NCH42",6.86,"Low Fat",0.036611419,"Household",230.201,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3550.15588742173
"505","FDV08",7.35,"Low Fat",0.028589521,"Fruits and Vegetables",42.0454,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,844.558971871829
"506","FDB47",8.8,"Low Fat",0.071720362,"Snack Foods",210.6612,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2634.61715922306
"507","FDC28",7.905,"Low Fat",0.09203683,"Frozen Foods",110.5254,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,229.051827609544
"508","FDD22",10,"Low Fat",0.099649694,"Snack Foods",113.7544,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2105.01205979185
"509","FDS07",12.5,"Low Fat",0.099274751,"Fruits and Vegetables",115.2518,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2989.05886155678
"510","DRI13",15.35,"Low Fat",0.020368186,"Soft Drinks",216.9508,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3305.63250228853
"511","FDG32",19.85,"Low Fat",0.176712457,"Fruits and Vegetables",222.9772,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3243.74827253363
"512","FDU14",17.75,"Low Fat",0.034949223,"Dairy",250.275,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,4300.81073399948
"513","FDD28",12.5,"Low Fat",0.093315935,"Frozen Foods",58.7904,"OUT019",1985,"Small","Tier 1","Grocery Store",34,191.148045199222
"514","NCP41",16.6,"Low Fat",0.0163024,"Health and Hygiene",109.5596,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1739.96926470065
"515","FDS08",5.735,"Low Fat",0.05704978,"Fruits and Vegetables",175.037,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2568.39974983619
"516","FDX47",6.55,"Regular",0.034674522,"Breads",157.5288,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2435.08570437171
"517","FDC53",12.5,"Low Fat",0.015470159,"Frozen Foods",100.4384,"OUT019",1985,"Small","Tier 1","Grocery Store",34,253.31452428984
"518","FDQ19",7.35,"Regular",0.014362412,"Fruits and Vegetables",241.1512,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4001.23373399841
"519","FDL14",8.115,"Regular",0.032224086,"Canned",154.8972,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2572.53559213795
"520","FDM33",12.5,"Low Fat",0.153585858,"Snack Foods",221.1798,"OUT019",1985,"Small","Tier 1","Grocery Store",34,536.920607982354
"521","FDA51",8.05,"Regular",0.165013572,"Dairy",113.2518,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2102.69381137547
"522","FDZ27",7.935,"Low Fat",0.017226149,"Dairy",48.635,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,724.306336077917
"523","FDT04",17.25,"Low Fat",0.107041738,"Frozen Foods",41.2822,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,703.11485194183
"524","DRC13",8.26,"Regular",0.03249201,"Soft Drinks",124.773,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1890.60505722447
"525","FDR16",12.5,"Regular",0.104509448,"Frozen Foods",214.7218,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5307.88673374022
"526","FDQ03",12.5,"Regular",0.077636468,"Meat",236.2248,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5637.13439718156
"527","FDE38",6.52,"Low Fat",0.044598726,"Canned",167.7842,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2860.9256514126
"528","DRH23",12.5,"Low Fat",0.169493477,"Hard Drinks",57.0614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,1887.70581332766
"529","FDT11",12.5,"Regular",0.051427223,"Breads",187.7556,"OUT019",1985,"Small","Tier 1","Grocery Store",34,581.890040385501
"530","FDD09",13.5,"Low Fat",0.021492339,"Fruits and Vegetables",179.6976,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2902.85836608705
"531","FDR40",9.1,"Regular",0,"Frozen Foods",81.9618,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1399.27449955398
"532","FDX07",19.2,"Regular",0.02304845,"Fruits and Vegetables",183.495,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3221.96423377627
"533","FDR07",21.35,"Low Fat",0.077729209,"Fruits and Vegetables",97.0094,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1856.6122944197
"534","FDA51",8.05,"Regular",0.165611092,"Dairy",114.2518,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2151.26134521149
"535","FDT59",12.5,"Low Fat",0.027858864,"Breads",230.2668,"OUT019",1985,"Small","Tier 1","Grocery Store",34,625.564546185507
"536","FDF20",12.85,"Low Fat",0.033408076,"Fruits and Vegetables",195.0768,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3142.07884013559
"537","FDR13",9.895,"Regular",0.028779079,"Canned",114.8492,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1880.01418997385
"538","FDY26",20.6,"Regular",0.030557961,"Dairy",210.2244,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3982.84801601455
"539","FDW04",8.985,"Regular",0.058154195,"Frozen Foods",129.831,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2171.56353236599
"540","FDK52",18.25,"Low Fat",0.079666936,"Frozen Foods",226.9062,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,4427.42998391144
"541","FDN60",15.1,"Low Fat",0.095306027,"Baking Goods",157.1604,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2882.25628952436
"542","FDM09",12.5,"Regular",0.150455041,"Snack Foods",170.879,"OUT019",1985,"Small","Tier 1","Grocery Store",34,472.069857525505
"543","FDP46",15.35,"Low Fat",0.074731622,"Snack Foods",87.883,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1542.18976816881
"544","FDB50",12.5,"Low Fat",0.19308623,"Canned",79.1986,"OUT019",1985,"Small","Tier 1","Grocery Store",34,272.58258974164
"545","NCQ29",12,"Low Fat",0.104392185,"Health and Hygiene",258.8278,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3738.05539677655
"546","FDP16",12.5,"Low Fat",0.039104567,"Frozen Foods",245.3802,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5514.40861436857
"547","FDX33",9.195,"Regular",0.117963418,"Snack Foods",161.1578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2593.35044820451
"548","FDP07",18.2,"Low Fat",0,"Fruits and Vegetables",195.411,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,510.763492912603
"549","FDN22",18.85,"Regular",0.138305372,"Snack Foods",251.1724,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3284.41320470352
"550","FDF39",14.85,"Regular",0,"Dairy",261.691,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3799.23607640533
"551","FDS21",19.85,"Regular",0.020994235,"Snack Foods",60.7194,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1022.5001303207
"552","NCM42",6.13,"Low Fat",0.028297924,"Household",107.1912,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1604.23402691436
"553","FDK50",12.5,"Low Fat",0.049660306,"Canned",163.4894,"OUT019",1985,"Small","Tier 1","Grocery Store",34,542.614869887184
"554","DRF13",12.5,"Low Fat",0.029637145,"Soft Drinks",146.9444,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3920.18209186756
"555","FDH35",18.25,"Low Fat",0.06049406,"Starchy Foods",163.9526,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2263.29798618987
"556","FDP60",17.35,"Low Fat",0.056146632,"Baking Goods",99.5016,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1435.27393759121
"557","DRJ49",12.5,"Low Fat",0.013925484,"Soft Drinks",130.1652,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2901.48181116245
"558","NCT42",12.5,"Low Fat",0.043574485,"Household",148.3392,"OUT019",1985,"Small","Tier 1","Grocery Store",34,450.183460331431
"559","FDE38",6.52,"Low Fat",0.044676513,"Canned",167.6842,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2556.38241767264
"560","FDI04",13.65,"Regular",0.073025792,"Frozen Foods",198.6426,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3188.50878957996
"561","NCH54",13.5,"Low Fat",0.072816495,"Household",157.892,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2783.26457413787
"562","FDT56",16,"Regular",0.115772125,"Fruits and Vegetables",58.9246,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,967.821963023581
"563","DRD15",10.6,"Low Fat",0.057027285,"Dairy",232.3642,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3548.5876122866
"564","FDV58",20.85,"Low Fat",0,"Snack Foods",193.8452,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2873.74043280027
"565","FDP21",7.42,"Regular",0.025780862,"Snack Foods",187.0872,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3124.66431935763
"566","FDH05",14.35,"Regular",0.090837986,"Frozen Foods",232.7984,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3880.83105129564
"567","FDR10",12.5,"Low Fat",0.009991275,"Snack Foods",161.5552,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4146.7492154708
"568","NCP06",20.7,"Low Fat",0.039325397,"Household",149.4366,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2432.23284334916
"569","FDF33",7.97,"Low Fat",0.02156897,"Seafood",106.4596,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1970.92459890275
"570","DRK37",5,"Low Fat",0,"Soft Drinks",188.353,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3511.914672653
"571","DRH49",19.7,"Low Fat",0,"Soft Drinks",84.2592,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1258.60735219782
"572","FDT58",9,"Low Fat",0.085883187,"Snack Foods",167.4816,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2771.10844140773
"573","FDD41",6.765,"Regular",0.087615564,"Frozen Foods",104.3306,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1438.50390111526
"574","FDP40",4.555,"Regular",0.034497126,"Frozen Foods",110.3544,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1763.93054792618
"575","FDM51",12.5,"Regular",0.025800674,"Meat",101.6674,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2523.19564364769
"576","FDO45",13.15,"Regular",0.063525167,"Snack Foods",86.3856,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,199.710454844233
"577","FDW33",9.395,"Low Fat",0.165907543,"Snack Foods",106.528,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,281.530575234242
"578","FDY24",4.88,"Regular",0,"Baking Goods",54.1298,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1109.5529817558
"579","FDB10",10,"Low Fat",0.112492619,"Snack Foods",237.559,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,538.092278020922
"580","FDM40",10.195,"Low Fat",0.159906706,"Frozen Foods",141.7154,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2087.81914158678
"581","NCI06",11.3,"Low Fat",0.0479876,"Household",180.866,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3570.06542341818
"582","FDW12",12.5,"Regular",0.062282301,"Baking Goods",143.5444,"OUT019",1985,"Small","Tier 1","Grocery Store",34,345.664851414737
"583","FDX48",12.5,"Regular",0.03770442,"Baking Goods",154.8656,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4090.24746739528
"584","NCW05",12.5,"Low Fat",0.147355554,"Health and Hygiene",107.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2767.11738827068
"585","FDX27",20.7,"Regular",0.114762583,"Dairy",95.1436,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1563.97113346865
"586","DRM37",15.35,"Low Fat",0.09659331,"Soft Drinks",198.2768,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3032.8629934291
"587","FDA38",5.44,"Low Fat",0.025531593,"Dairy",241.5538,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3602.50126833048
"588","FDR36",6.715,"Regular",0.121586376,"Baking Goods",40.0454,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,809.723259368764
"589","FDZ45",14.1,"Low Fat",0.066875983,"Snack Foods",198.8084,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2747.90471574824
"590","FDG05",11,"Regular",0.088344041,"Frozen Foods",158.463,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2341.34695199921
"591","FDK28",5.695,"Low Fat",0.065535324,"Frozen Foods",258.5646,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,4961.72458940025
"592","FDV47",17.1,"Low Fat",0.054317483,"Breads",85.7566,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1398.53436632437
"593","FDN21",18.6,"Low Fat",0.077011493,"Snack Foods",160.5236,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2434.69048811889
"594","FDP20",12.5,"Low Fat",0.045448081,"Fruits and Vegetables",127.202,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3350.37713557123
"595","FDI35",14,"Low Fat",0.041374909,"Starchy Foods",181.7634,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3768.70622310435
"596","DRY23",9.395,"Regular",0.109005584,"Soft Drinks",43.3112,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,818.267155883595
"597","FDA56",9.21,"Low Fat",0.008814363,"Fruits and Vegetables",122.7414,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1929.6050571883
"598","FDB09",16.25,"Low Fat",0.057348328,"Fruits and Vegetables",123.2046,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2013.92198911259
"599","NCO26",12.5,"Low Fat",0.076483451,"Household",117.3492,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2570.83286711211
"600","FDQ49",20.2,"Regular",0.039407615,"Breakfast",156.563,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2427.64150070991
"601","FDI52",12.5,"Low Fat",0.104171229,"Frozen Foods",122.4072,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2768.85644604381
"602","FDZ44",12.5,"Low Fat",0.03854151,"Fruits and Vegetables",117.4808,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2939.01133104918
"603","FDZ09",17.6,"Low Fat",0.105306199,"Snack Foods",164.3868,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2455.56336442342
"604","FDY03",17.6,"Regular",0.07624018,"Meat",113.1202,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1939.11832506414
"605","NCG42",19.2,"Low Fat",0.041461032,"Household",129.931,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2332.48072656421
"606","DRI13",12.5,"Low Fat",0.020228528,"Soft Drinks",218.0508,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5250.68441022643
"607","FDQ32",17.85,"Regular",0.046569711,"Fruits and Vegetables",125.6388,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2059.51080520926
"608","FDW16",17.35,"Regular",0.04146639,"Frozen Foods",90.9804,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1250.79520022252
"609","FDU27",18.6,"Regular",0.171476879,"Meat",47.0376,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,889.177957933832
"610","FDR28",13.85,"Regular",0.043345406,"Frozen Foods",162.821,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,450.943668863241
"611","FDQ49",20.2,"Regular",0.065692664,"Breakfast",158.163,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,501.594584477064
"612","FDS37",7.655,"Low Fat",0.031944868,"Canned",116.1492,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1999.49913541914
"613","FDW26",11.8,"Regular",0.107493292,"Dairy",220.4772,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3079.30715144452
"614","FDX12",18.2,"Regular",0.026170661,"Baking Goods",241.1196,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3126.41193619205
"615","NCP06",20.7,"Low Fat",0.039213146,"Household",150.7366,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2986.89823678325
"616","FDW45",18,"Low Fat",0.065296399,"Snack Foods",145.2418,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,414.665233989392
"617","NCN30",16.35,"Low Fat",0.017019624,"Household",94.541,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1587.1349964551
"618","FDN24",14.1,"Low Fat",0.113443531,"Baking Goods",53.0956,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,967.912037308446
"619","NCL41",12.5,"Low Fat",0.04153551,"Health and Hygiene",32.8216,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,1580.70723861374
"620","FDR02",12.5,"Low Fat",0.03863415,"Dairy",109.4886,"OUT019",1985,"Small","Tier 1","Grocery Store",34,284.085494076831
"621","FDD09",13.5,"Low Fat",0.035980572,"Fruits and Vegetables",180.8976,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,500.978326728124
"622","FDS33",6.67,"Regular",0,"Snack Foods",86.5514,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,209.304579836116
"623","FDU22",12.35,"Low Fat",0.093485761,"Snack Foods",119.6124,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1893.82695283034
"624","FDI53",8.895,"Regular",0.137530409,"Frozen Foods",162.5236,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2158.16185817719
"625","DRH01",17.5,"Low Fat",0.098056243,"Soft Drinks",175.7738,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2747.20742341001
"626","FDX32",15.1,"Regular",0.099775148,"Fruits and Vegetables",142.9786,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2456.38211068264
"627","NCP30",20.5,"Low Fat",0.032902177,"Household",39.7822,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,703.716486602325
"628","FDB60",9.3,"Low Fat",0.028579933,"Baking Goods",195.9136,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2793.95322522306
"629","FDB14",20.25,"Regular",0.102883628,"Canned",93.412,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1459.98499199251
"630","NCP02",7.105,"Low Fat",0.044800289,"Household",58.0562,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,923.752235750934
"631","FDJ10",5.095,"Regular",0.13023619,"Snack Foods",140.3838,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2072.7900325785
"632","FDG34",11.5,"Regular",0,"Snack Foods",110.5254,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1858.74722421348
